commentID,comment_text,hate_instigation_level,hatespeech_or_not
UgwZb0THljSmCCVAggF4AaABAg,Everybody stop calling her he and him. Respect her pronouns. This is a issue though maybe they can make a trans league for athletes who are trans? I don’t know,0.0,0
UgzvLJ2X4mPWN04aQkl4AaABAg,How can women accept that?!!!!,0.0,0
UgxRKmQSkDqg71zRp_54AaABAg,It comes down to Lia herself and her integrity. The fact that she thinks this is okay speaks volume.,0.0,0
UgxSJD_89SLNoyt-Vfx4AaABAg,"It’s not a “tough issue”For crying out loud, it shouldn’t even BE an issue, it’s a no brainer, biologically a male body has many advantages…just look at the size of him!!!",0.0,0
Ugx3UVYRlq5XDVhvlLx4AaABAg,Let transgender compete with their owntransgender kind.,0.0,0
UgxULy5y5hysV75ctpd4AaABAg,"Lia Thomas is not a winner it is a FREEK, I would bet that this it has something hanging between it legs.",0.0,1
Ugyxj7uPsFNg_9WHb4p4AaABAg,She is bigger then any of the females,0.0,0
UgzohOiy9tSb_OpBjSB4AaABAg,"She should compete in her own category. She's biologically male, and when I learned swim when I was young, we're always divided because it's different between male n female, especially stamina.",0.0,0
UgzVI164QN0YIqfveQN4AaABAg,THATS A MAN,1.0,0
UgyHZnHejz6_Zcnzd-B4AaABAg,Why can’t there be a trans women only tournament? It’s just unfair putting them in biological female sports. Congrats Emma Weyant you deserve the gold!🥇,0.0,0
UgyvEt9TXUKKBDjbfFB4AaABAg,"As a European, watched this interview with interest. Credits to the generals view on how to deal with Russian aggression. Made good points. Talk turned into a political talk about which president would be better. What was the subject of this interview?",0.0,0
UgwxVw4X5gmCuZOafvN4AaABAg,"I could never understand how a mid-level KGB officer....in the provinces [so to speak, kinda-sorta....].....became the all highest in Russia....Putin was NOT a leading officer of the KGB in Moscow....he was a mid level functionary in East Berlin!",0.0,0
UgydDaquVNSD2s5zPM94AaABAg,It is so nice to have a Commander-in-Chief that doesn't even know where he is half the time.,0.0,0
UgyZbHPBMUoSE2rGpNF4AaABAg,Putin has understimated Biden.He is one tough old man.,0.0,0
Ugz3UoDf1FFGbqO4syR4AaABAg,"This Lt. Gen. Kellogg is right. When there is fear, you already lost.",0.0,0
Ugxn9bU4-qtTeE2cGGx4AaABAg,"This was interesting, thought-provoking, and revealing- until the two decided to take the ball, and the airtime, and run into the Trump supporter crowd.",0.0,0
UgxE7Y6DMBi_S7n37Wt4AaABAg,We love you Joe Biden. We the people are thankful for the fantastic job you have done with this crisis.,0.0,0
Ugz8EMlb7cJXBkf7F8R4AaABAg,"You know, former general, you are crazy. Trump handled Putin the right way, you just said nothing. Pushing ww3 is not an option. A weak military in Russia? You must be kidding me. Hyper Sonic's we don't have, nor a missile",0.0,0
UgziGrKREFW3V73WswJ4AaABAg,"I remember who the first person to use the term ""fake news"" was. Wanna guess who it was? The same guy that tried flushing government paperwork, got impeached, and used to have a tv show where he decided the next big corporate oligarchs.",1.0,0
UgzWaJ7Ly-p2eZb6-aF4AaABAg,"Whoopi says, ""they used to arrest people for doin' stuff like this."" Is she referring to arresting people under the first amendment?",1.0,0
UgxTKJcdMtxYSUsdfvl4AaABAg,America supporting one comedian to to do comedy in Ukraine with millions of people,1.0,1
