replyID,reply_text,hatespeech_or_not
UgzXq58PL6y4aKigtDh4AaABAg.9_9kyBIPwUY9_AKGK5nc49,How is this propaganda?,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SiXCB1bvh,Wow I' m just shock someone mentioned expert Mrs Jane I thought I' m the only one trading with her,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SiXl7HTMI,She help me recover all what I lose trying to trade myself.,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SiyzidDTg,Thanks for introducing me to Mrs Jane,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SjHtCr4fZ,Yes I'm also a living testimony of expert Mrs Jane,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_Sj_5G92MA,Mrs Jane has changed my financial status for the best.all thanks to my aunty who introduced her to me,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_Sj_tF8pD4,Her success story is everywhere,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SjsRm051Z,Who's this professional everyone is talking about I always see her post on top comment on every YouTube video I watched,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_Sjt69U8p5,I think I am interested how can I get in touch with Mrs Jane,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SkBYV1kd0,꧁༒☬෴十†𝟏𝟱𝟏𝟬𝟰𝟕𝟑𝟲𝟯𝟬𝟵෴☬༒꧂Tell her I referred you 👆,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SkWBfXGoV,Thanks for the recommendation,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SkX8Xr7jE,I just contacted her and she attends to me nicely,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SknAHKr0Y,Wow I just make my second withdraw again today trading with expert Mrs Jane,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_Smur9cJYn,I remember friends calling me crazy when I started but now I shut up them with my four figure weekly returned,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_Smvalc_Ty,I'm happy today because of Mrs Jane,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SnAGj2Xdz,I'm from Germany I used to take loan from the bank for surviver but after trading with expert Mrs Jane she changed my financial status for real,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SnAzKT-tL,I'm now a creditor not a debtor anymore,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SnSiBHt30,She's is the key to crypto,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_Sni3HwgBw,She really made name for herself😜,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SnynYzYHQ,I've never heard or seen any of her clients complain of Lost....I think she's just too perfect,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SnzbJSGnU,"I'm not here to converse for her but to testify just for what I'm sure of, she's trust worthy and best option ever seen",0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SoZQ_PP9N,Sometimes I wonder if she's used magic power trade,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_So_Fqk8_u,She has made success easier than we thought,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SopxsCmtW,She's not like other brokers that will star telling you stories and excuses why they trade didn't go well after collecting your money,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_Sp37MQtb0,"A friend that I referred to her just received $7,050 profit after 10 days of investing....I became jealous.. lol",0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SpbHrbk4l,My first experience with her gave me the assurance that has made me to invest without fear of loosing,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SpcAk4t70,She's awesome we love you,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SpvTTiOmN,"Those scammers they promise to make up to $50,000 profit within the space of 7 days with just $500 to invest and end up not even refunding your capital but she's a woman of integrity, with $500 he will tell you she can only make profit within the range of $4000 to $8,900 and she actually delivers.... she's great",0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SqGhpbu_M,Her method surprises me,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SqHiLR123,When I saw testimonies all over the place I thought it was made up stories till I was convinced and gave it a try and honestly I don't regret the move I made because I invested in a big way,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SqeLeNc14,"I'm from Brazil, I and two other of my friends tried her immediately we testified, her performing wonders",0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SqfKY0mcQ,She gave her clients nice attention,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_Sr4bsTzd-,"Thanks to you all for your testimonies, it has helped me greatly I thought the were not real but I will now boldy testify... she's strategies is awesome",0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SrIKS9R6N,Most people remain poor only because friends and relatives discouraged and advise them against investing and trading forex while the wise ones kept investing and growing higher financially,0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SsHd4Ygr3,"Mrs Jane has brought me out of the wrenches and to a better living through trading options, I encourage newbies to trade with her",0
Ugy5wXibEa_LfqMF7M54AaABAg.9_SiBLnFP3M9_SsJKPIdSM,Trade with her and remember to share testimonies with others,0
UgyBvDLO1WhNSsfGVrJ4AaABAg.9_7UAQc7ct19_7aNJNWS3v,Putin is the same.,1
UgxeMDcvFJ0fW-8cQMh4AaABAg.9ZYKrRrleJd9ZYKuRW0NmD,Walk by faith forward,0
UgxeMDcvFJ0fW-8cQMh4AaABAg.9ZYKrRrleJd9ZYKxAV9h8z,Not against us for us,0
UgxeMDcvFJ0fW-8cQMh4AaABAg.9ZYKrRrleJd9ZYL-9v5aqQ,Tough love shows the errors,0
UgxeMDcvFJ0fW-8cQMh4AaABAg.9ZYKrRrleJd9ZYL74kcCx5,No Emory the cash going digital,0
UgzqQ4yY58Js1UNbIZ14AaABAg.9_9D3yRd5V89_ALUMfO6Zv,"@Sad Russian Ruble my life is more important than my country sorry,even if my country burn i can restart somewhere else,but if i lose my life its the end of everything",1
UgzqQ4yY58Js1UNbIZ14AaABAg.9_9D3yRd5V89_AMQNf9jYg,@La Madonna So you’ve no pride where you’re from? Sad. We have deeper ties to our land than Americans.,1
UgzqQ4yY58Js1UNbIZ14AaABAg.9_9D3yRd5V89_ANWZYYj3W,@La Madonna Then you don’t understand how horrible “just give up is”. You don’t understand their history,1
UgzqQ4yY58Js1UNbIZ14AaABAg.9_9D3yRd5V89_BoBxIN48J,@La Madonna you’re a young person. Some day you’ll understand what pride in a country is. Or maybe you won’t which would be worse.,1
UgzqQ4yY58Js1UNbIZ14AaABAg.9_9D3yRd5V89_CZ6qnpuci,"@Sad Russian Ruble dont worry man,my life will always be more important than pride,pride is usless in the grave.So much pride in being left with a destroyed country,damn exactly what i want in my life",1
Ugy4rClkd_FwrVLOe1R4AaABAg.9ZlBge9P8lb9ZmiyMslW-k,"Oh,  you really need to step away from the crack pipe.",0
UgzQpsPrCobC88VhePF4AaABAg.9Zoa--hzK8r9Zq8hZ5SKZO,"Hey Good morning, how are you doing!",0
UgwlBwFGn3FV7DqU9cp4AaABAg.9ZFFbmC82rN9ZFFniZ2W94,What is a rino?,0
UgwlBwFGn3FV7DqU9cp4AaABAg.9ZFFbmC82rN9ZFIr2Fc90T,Republican in name only rino,0
Ugxn89LZl-3EqKOJJEF4AaABAg.9_2-Zz6wHK19_4Vo8U_eQR,"You mean FDT, Lets go Stormy!  Right you CLOWN",1
Ugxn89LZl-3EqKOJJEF4AaABAg.9_2-Zz6wHK19_4qNpEwjwC,"@The Dude FYI Stormy lost her case against Trump, and now owes him $300k. 😂😂🤣🤣",1
Ugyg0FMa0FGf8_-1wAd4AaABAg.9ZgfJ9HVLmo9ZwDLcy142s,"Hello, how are you doing? Hope you're having a wonderful day!!!",0
Ugz8EMlb7cJXBkf7F8R4AaABAg.9ZfynHrVLcd9Zfz44aQBdw,"Shield for them. Don't tell me, a militaryat widow what military strategy is. Talking heads who no longer have current intell are ku",0
UgxJy__MTPG0Pzb6edl4AaABAg.9ZcvpmGfaK49ZcyUD-5iCC,"EXACTLY RIGHT, JACK..!!",1
UgxJy__MTPG0Pzb6edl4AaABAg.9ZcvpmGfaK49ZczibbkNZ-,You know it’s pretty impressive when you see Everything Trump was exactly right about..,1
UgyivyvwVDMW8gH7O5V4AaABAg.9ZWeKQT9Rg09ZWfC-aSL6F,@Andy Christ 100% support for veterans if homeless.,1
UgyivyvwVDMW8gH7O5V4AaABAg.9ZWeKQT9Rg09ZWl__QZv7Q,@Anon Ymous the drug addicts? yes I agree. if veterans and they served... that's wrong man.,1
UgzJLAvMKdPI5RdpSdZ4AaABAg.9ZxasQcjgeC9ZxoMZWfd_j,"of course, who alese? Finland?",1
UgwYph3d4O2I1LM9sn14AaABAg.9_2WLx5I8Fs9_CXXYQQRAN,So your issue is with comprehension?,1
Ugw9wQHl08m6xD6WaJR4AaABAg.9ZwTuBL7dQC9ZxpNZqOKcO,hahaha   I wouldn't answer that silly question either.  ask Donald Trump what a woman is.,1
UgxRQOHSAeA0IU2KXL94AaABAg.9ZwfWPuNweo9_2q92-CQlG,"This judge applied longer sentences for child predators than all the other SC judges combined.  Because, she sat as a district court judge for longer than all the other SC judges combined.  It is fair to judge her on her record - but you can't compare her to other SC judges this way, because most never sat as district judges.",0
Ugy4R-F3--LusbWZdbd4AaABAg.9_CZcZWhUuN9_Cg3U7Meyw,Best video on gender i know: Forrest Valkai. He's a Biologist and also did the Unthinkable: He read books... books on gender-studys!!!! Wha-wha-whaaat??,1
Ugw2iLEWe9282QnVEEx4AaABAg.9_BuidpmeTc9_BvqHBZncp,And Matt Walsh ripped off 50 years of women's activism on this issue.,1
UgznLUUc4kPTjNdrhux4AaABAg.9ZF3BBQ6U639ZF40cGvSjM,"I'm not agreeing with anyone's criticism of it, BUT possession of that oil happens to be a MAJOR crime in Russia (wouldn't want people to enjoy themselves or get high under a dictator - thats too much freedom for them).",0
UgznLUUc4kPTjNdrhux4AaABAg.9ZF3BBQ6U639ZFBSsOqPf9,@Letthembefree it's the arrogant way he said it that got to me. Like he's the father of the year canadate,0
UgwfmdBa1SxcW2g_2vl4AaABAg.9ZiSKmlgQYy9ZjICiVI1W5,"Well, that's not realistic, is it?",0
Ugyuu9fMu4EblIgvG0B4AaABAg.9_5jDJZfRWm9_5z9KUXLVy,don't believe a word of it,0
UgzcU6mc7-pl2QlTM1h4AaABAg.9ZfSuHHbh769ZfVevoRAFa,It is not looking good for the all americans first.,0
UgzNbcRAT0-MsoBuSB94AaABAg.9ZZPPxy6msr9ZZR7izu2Ob,"@Jacquie Slusher ok, yeah agreed. With that understanding the whole lot of them needs to be jailed...better yet kicked out of the United States, never to return. 🇺🇸",1
UgyPfbDzTjz9pHvxDqt4AaABAg.9ZgO7pHEqnE9ZwDRC1PUuY,"Hello, how are you doing? Hope you're having a wonderful day!!!",0
UgxXzDeIosMm2BJAF4p4AaABAg.9ZwEz3Vb0hN9ZwHM5SGnWD,not productive enough. you can have small one in back of your house...if you don't mind the sound it makes.,1
Ugw4gXOg0Ar3LRhAecJ4AaABAg.9_58G3mrGeG9_5Be16rWBb,"Everyone who shouted - Assad must leave, has already left. Assad was elected again...",0
Ugw4gXOg0Ar3LRhAecJ4AaABAg.9_58G3mrGeG9_5TzqlajsS,The pedantic answer: USA …because we have a democratic system with voting every 2 & 4 years.,0
Ugwl3YxdgtDDDOyLZSt4AaABAg.9ZxmBDzHoCO9Zxp-YlW6Pn,"By poor you mean the 5th largest economy, 4th military power and the fastest growing major country ??",1
Ugwl3YxdgtDDDOyLZSt4AaABAg.9ZxmBDzHoCO9ZyI_81Udua,@India First Never mind.  This man is just arrogant and uneducated.  Just keep working on the prosperity of your country.  I wish you success.  I believe that soon India will become one of the richest and most influential countries in the world,1
Ugwl3YxdgtDDDOyLZSt4AaABAg.9ZxmBDzHoCO9ZyJOR4XLuD,@TaniLla Thank You Love to USA 🇮🇳🇺🇸,0
Ugwl3YxdgtDDDOyLZSt4AaABAg.9ZxmBDzHoCO9ZyWIWUS8i-,@India First Why love to USA? Why not love to all the countries?,0
Ugwl3YxdgtDDDOyLZSt4AaABAg.9ZxmBDzHoCO9ZzDv9v1xi0,@espn2829a I thought you were American ??,0
Ugwl3YxdgtDDDOyLZSt4AaABAg.9ZxmBDzHoCO9_0cY0fiAPU,@India First I am not the guy you were originally responding to.,0
UgyW8cXFR_5vUAa5wQp4AaABAg.9_5By67LAnW9_5CF3867Z9,"it's called ""baiting""....I'm certain the CIA  has peeps watching him 24/7 in order to try to snag a russian contract killer...those CIA boys LOVE waterboarding russian contract killers",1
UgztK7pNwwKwDjkYke94AaABAg.9ZxeSGVIrAm9ZyGyMjwt-_,"did you get your covid checks? WHIMPY ""i pay you next week for a hamburger today"". can you figure it out now?",1
UgztK7pNwwKwDjkYke94AaABAg.9ZxeSGVIrAm9ZyJ0hCZ5B6,@Buckeye2A no you didnt get it. everyone ate steak for two years. now they they have to eat peanut butter and jelly since they spent so much.,1
UgxxPxEzmuSUlUQaj4V4AaABAg.9_6FO4727Va9_A_R-cUqbH,"He has an entire documentary about his life and a book.Russians know who he is, there are much much bigger people to get than this guy.",0
UgxWOgV4cu-ARSIrVFx4AaABAg.9ZfTUu623c59ZfV1arocMa,"Not all!  Those in Tucson who have never owned a car, don't have car repair bills and since the Pandemic, city bus rides are free.  And there are those who are losing weight, lessening the obesity rate in this country, because certain food products are too expensive.",0
UgxWOgV4cu-ARSIrVFx4AaABAg.9ZfTUu623c59Zfbf9x6yuD,It's the American way. It wouldn't be oppression without the race scenario.,1
UgxWOgV4cu-ARSIrVFx4AaABAg.9ZfTUu623c59ZfjNH-fpnd,Agree 100%. Every American feels this. Regardless of race.,0
UgxWOgV4cu-ARSIrVFx4AaABAg.9ZfTUu623c59ZflEWK-Trh,@Michael Ellringer And you gave your brain to someone more deserving - how sweet.,1
UgxWOgV4cu-ARSIrVFx4AaABAg.9ZfTUu623c59ZfuRIgpjF1,"Those with less money are affected more by the rising prices.And as it happens, minorities often have less money to spend, less access to education (which costs a fortune), and thus less opportunity to enter a higher paying job, to get more money to spend...This loop is often described as ""systemic racism"".Everyone is affected of course, but the people living in poverty are the ones that need help the most.I once believed that democrats were for the people.",0
UgxWOgV4cu-ARSIrVFx4AaABAg.9ZfTUu623c59Zfz_uWZ9B3,"@Michael CT grows I'm lovin it! What few minorities I was around, where bitching about how bad Trump was! LOL",1
UgxWOgV4cu-ARSIrVFx4AaABAg.9ZfTUu623c59Zg-zHNZfuJ,"@Anjun 241 ""just keep the standards low in their schools and making excuses for their academic shortcomings""Yes, you are describing systemic racism - or a variation of it. Nobody said systemic racism can't propogate by failing to teach the students.You're too busy spinning a political hamster wheel. Don't forget you're on one side of the same coin. The coin flip ""election"" is worthless in its current implementation.",1
UgxWOgV4cu-ARSIrVFx4AaABAg.9ZfTUu623c59Zg0gT9n1lW,@Anjun 241 right on,1
UgyqROIx5jr-Cj1HFGp4AaABAg.9ZZOsDnUwZP9ZZZP-TNzzy,Why would you say that?,1
UgyqROIx5jr-Cj1HFGp4AaABAg.9ZZOsDnUwZP9Z_IgxdbEnF,"@Bruce Bradley You obviously don't like FOX, thier friends and maybe even their ""casual viewers"". Why put yourself through any frustration with them? If you got a bad Big Mac, would you spend any time on McDonald's websites?",1
UgyqROIx5jr-Cj1HFGp4AaABAg.9ZZOsDnUwZP9Z_J6EI5D42,"@Bruce Bradley I can't walk past your ""white supremacist"" label of Tucker. Please elaborate... If you would... Your thoughts on Joe's overall performance.",1
UgyqROIx5jr-Cj1HFGp4AaABAg.9ZZOsDnUwZP9ZaRbzV2zBj,"@Bruce Bradley No, I can't. Apparently,  nobody can.You've asked that exact same question on at least 3 differant FOX articles. All without any reply. You laid out a huge declaration against Tucker. Yet, you won't explain it at all. Maybe, you actually do not believe what you declared. And, for some reason, you won't share your opinions of Joe. Maybe you are like most people. They have nothing good to say about him, either.",0
Ugz0hQ06t2nY_L-XT-h4AaABAg.9Zie0Acxf0o9ZjojplQ3PP,Maybe he was put there??,0
Ugy81xQ1WHxosqU1rbd4AaABAg.9ZFEdCus4GH9ZFG7Gg7piD,Because Russia attacking a country is a pretty big deal. Not hard to understand,0
Ugy81xQ1WHxosqU1rbd4AaABAg.9ZFEdCus4GH9ZFHdmvXwrR,Americans media are making the situation more worst . The whole world are getting wisely . U.S should change partherns . No  one like war .promote sports pls . Acting like evil is not a good idea .,0
Ugy81xQ1WHxosqU1rbd4AaABAg.9ZFEdCus4GH9ZFIphhD-ul,"Your involvement in other countries interna , domestic affairs is creating disaster , hate , discrimination , racists around the world . U.N  should be allowed to practice it duties .",0
Ugy81xQ1WHxosqU1rbd4AaABAg.9ZFEdCus4GH9ZFIwQmMq5j,"Go back to inizial story , found out why Russia is tried to defend  her self .",0
UgzlK7eySLeXzci75AJ4AaABAg.9ZFLrHoaP5U9ZGA4s4DDMn,"@Diana Williams The WNBA is not playing in Russia. The WNBA players earn a lot less than NBA players, so most of them play in other countries during their WNBA off-season. It’s very common. Britteny has played in Russia for years, but this time she got caught for breaking their laws. Well, … she won’t have to listen to our National Anthem (to which she objects) while she’s in their penal system. I don’t think we should save her butt!",0
UgwI5UMMPQ1VmMzOA6x4AaABAg.9ZxEShVcHEg9ZxJXcX46Vz,Because they aren't trained to use it.,0
UgwI5UMMPQ1VmMzOA6x4AaABAg.9ZxEShVcHEg9ZxYgtWOXcR,Because it is NATO - No Actions Talks Only 😂,1
UgwI5UMMPQ1VmMzOA6x4AaABAg.9ZxEShVcHEg9Zx_SbhS80R,@Wes Takahashi  🤡 so Taiwan trained? America gave air defense to Taiwan?,1
UgxTxbdSMnnarQpkRHd4AaABAg.9ZEpQWQtbSD9ZErYj8EC3y,@Almond Milk Tea I didn't mention Putin at all in my comment. I asked 2 simple questions. Do you know the answers to those 2 questions?,0
UgxTxbdSMnnarQpkRHd4AaABAg.9ZEpQWQtbSD9ZEtUoJVKzK,@Sneaker Seeker nope he doesn't. They either say 'putin putin putin' or 'trump trump trump' in everything they say in life,0
UgykkXjDWOwG23dXJ4t4AaABAg.9_5Ve0je0uX9_5iyN1XJp8,Because they are neck deep in a cult..,1
UgwOafgrOyAGwGqCeKh4AaABAg.9ZgCj-O4rzr9Zw9O1fUriJ,"Hello, how are you doing? Hope you're having a wonderful day!",0
Ugxo1OtbCDIUAcWySdN4AaABAg.9ZYnLdgiRTU9ZYpAYOCdv3,"Yep, it's obvious all of it is intentional",0
Ugxo1OtbCDIUAcWySdN4AaABAg.9ZYnLdgiRTU9ZZ3AIqaJby,You mistook millions for BILLIONS,0
