replyID,reply_text,hatespeech_or_not
Ugx19n3ofLyQGCRBWhJ4AaABAg.9_LTN1y68549_Oqy0ROBwb,고통사고는 뭐임ㅋㅋ?고통스럽게 사고나는거?,0
Ugx19n3ofLyQGCRBWhJ4AaABAg.9_LTN1y68549_Oszv3jIxo,@쫄라맨 살면서 사고 안날 자신 있는가보네 ㄷㄷ 부럽다,0
Ugx19n3ofLyQGCRBWhJ4AaABAg.9_LTN1y68549_OuRJeN6F8,ㅇㅇ 왜냐면 난 누구처럼 불법적으로 살지 안거덩ㅋㅋ,0
Ugx19n3ofLyQGCRBWhJ4AaABAg.9_LTN1y68549_P4iN1d3jJ,@쫄라맨 누군 법안지겨서 후천적 장애인 안되는줄아시나,0
Ugykrliz2jGWQhrPEFJ4AaABAg.9_G_Ye1BbOw9_I5j9OUJFJ,국힘이 늘 혐오정치를 해선지 같은 선상에서 공감을 못하는 것처럼 느껴져요 휴,0
UgzTL6SvPZm75gBEUS54AaABAg.9_FQgEC1rpq9_FRFeiX_Qx,"""대학 등 교육 문제도 그렇고, 취미생활, 그리고 교통수준, 심지어 기초적인 의식주 생활과 의료환경까지 수도권과 비수도권의 격차가 너무 심하다. 서울에 집중된 것도 있지만, 지방 소도시들은 이런 인프라가 없다시피 한 것이 문제.",0
Ugz45FQK4sCYxd0mG6p4AaABAg.9_DbyVKtrcM9_EF8xCFk_I,격하게 공감합니다 !,0
Ugw1zXiXcXmJ5xW0pOV4AaABAg.9_CAswmMeNv9_K9HzJjo--,"이동을 하려면 목숨을 걸어야하는 절박함을 말하는거다.장애는 내가 가질 수도 있고, 너희들도 갖을 수있다. 너희들도 장애를 갖는다면 지하철을 탈때 목숨을 걸어야하는 현실이다.너나 나, 우리 목숨이 걸릴 수도 있는 문제를 알리기위해 조금의 불편이 그렇게 크게 다가오냐...준석아",0
UgwUiwlsey1OnNv8Qxl4AaABAg.9_C9Em0fL-79_DFvKhRuCj,선생님~ 불편한게 아니라요. 저 사건으로 수십분간 열차가 지연되어. 할머니 임종을 못지키게된 사람도 있고요. 면접에 늦은사람 시험에 늦은사람. 각종 중요업무에 늦어 손해본사람이 수천수만명이라고요~ 대가리에 총맞았어요? 감성말고 이성으로 판단합시다.,0
UgxlHgO2CMKbZbevwyN4AaABAg.9_C86uZA2mQ9_OyCz6FQpP,장애인들이 안탑깝지만 출근길을 방해하는 시위는 매우 이기적이군요.다 같이 공존하는 세상인데 공동체 정신을 찾아볼 수 없네요.그래서 양측이 모두 만족하는 방법은 없는 것 같군요.장애인들은 시민을 얼마나 무시하길래 지하철에서 시위를 하는 사태가 발생한 것입니까?장애인들이 세금으로 이득은  취하려 하고 세금 벌러 가지는 못하게 하는 미련하고 악한 마음을 살펴봐야 할것 같네요,0
