replyID,relpy_text,hatespeech_or_not
Ugw3npgfGtXJV07XOiR4AaABAg.9_HgadmKcX_9_HzhSGX-H8,비행기 끼리 충돌하는건 기체 성능 문제가 아닐텐데. 당장 종이비행기두개 접어서 왼손 오른손에 잡고 1m 앞 공중에서 충돌시켜봐 그게 되나,0
Ugw3npgfGtXJV07XOiR4AaABAg.9_HgadmKcX_9_Ihkh-Ki_Y,바본가..,1
UgzYF7kU80hUVNdCK6l4AaABAg.9_H_xSeZVVn9_Ih7VyJPY9,뭐만하면 비리 ...,0
UgzYF7kU80hUVNdCK6l4AaABAg.9_H_xSeZVVn9_KvY5eWkTO,진짜 정신병이다 ㄹㅇ..,1
UgxGwo3fHLrt6yfxmuN4AaABAg.9_H_Uowo3n09_J7m-yfc7j,그러게요 같은고도로 둘다 설정을 해버린건가..ㅠ,0
UgxGwo3fHLrt6yfxmuN4AaABAg.9_H_Uowo3n09_JibFC_pJE,계기비행  훈련ᆢ,0
UgwpWEGYgDqY3uSZBjB4AaABAg.9_HQqRNPRB59_HYqP2Mv6e,지인입니다. 군인정신 투철한 청년이었는데 마음이 아프네요.,0
UgwpWEGYgDqY3uSZBjB4AaABAg.9_HQqRNPRB59_HjJ_IkxT2,나라를 위해 훈련하다 순직한 고귀한 죽음을 폄하하지 마십시오.,0
UgwpWEGYgDqY3uSZBjB4AaABAg.9_HQqRNPRB59_JsZyvQeke,한심한 댓글에 좋아요 15개씩 달려있는거보니 목숨 바쳐가며 나라지킬 필요가 없는듯,1
UgwpWEGYgDqY3uSZBjB4AaABAg.9_HQqRNPRB59_Qnkefc42i,고작 일반병사 나와서 복무기간만 채우고 편하게 공장 알바나 했을 놈이 저런 소리 하고있네,1
UgzfQ_SpPQZfyJ0SPPF4AaABAg.9_HM_KVazbW9_JiBKX5cYW,사비란다. 허위소문에 책임질수나 있냐?,0
UgzfQ_SpPQZfyJ0SPPF4AaABAg.9_HM_KVazbW9_JybHZTAS3,@james Lee 찢,1
UgzfQ_SpPQZfyJ0SPPF4AaABAg.9_HM_KVazbW9_KA8F3WbMZ,@james Lee : 동무 이것 협박하는것 ???,1
UgydMBHGH2PB3cCHhDt4AaABAg.9_9nv-dag3p9_9oUARYGv6,"언론은 얄팍하고 국민들에게 잘못되고 자극적인 기사 제목으로 대다수의 잘 모르는 이들을 
<br>호도하지마시길.. 이제 임기의 끝이 다 돼가는 대통령이시고 또 개개인들마다 다 만족적이진
<br>못하겠지만 [한번 그 자리에 앉아서 해보시길.. 얼마나 힘들고 무거운 자리인지.. 그 자리의 무거움을 
<br>조금이라도 짐작해본다면 아무도 쉽게 무어라 비판하지만은 못할 것이라 지금은 느껴지네요..<br>저 또한.. 모든 부처의 또 그 아래아래의 많은 것들의.. 어떤 정권이 정부가 들어산다해도 그것은 <br>크게 다르지않을 거라 생각이.. 이게 팩트일 거라 생각되네요.. 비판은 할 수 있지만 비난과 맹목적 공격 <br>도를 넘어선 지나친 모습들..  정치의 품격.. 우리 사회 또 정치의 민낯을 보는 듯한..  심히 우울과..]
<br>
<br>국민들은 안정감있고 또 개혁이 필요한 곳에선 강하게 [그렇다고 그저 저돌적으로 밀어붙이는 
<br>그런 게 아니라 설득과 상대의 주장도 들여다볼 수 있는 그런.. 거기에서 최선의 무언가가 나오는 
<br>거겠지요..] 또 따뜻한 포용과 배려의 손길이 필요한 곳에선 그렇게하는 정부를 원합니다..",0
UgxxxHM8t53Uiyv6-Ml4AaABAg.9_9fBlyMDTi9_A7UxLyHi0,조씨 믿거,1
UgxtkqZxe2NTEsPmkGZ4AaABAg.9_9e7Wwtc8k9_ATfW6GjuT,최악의  무능정권으로,0
UgzKfrKX5cCOXc69YO54AaABAg.9_9dJXu6HlV9_9gw-9NxUp,넥타이  진짜  의심 스럽습니다,0
Ugx1dcRaaGqwYuo4O914AaABAg.9_9cpJtTLm79_9g_qX3gzv,@빈티지 ㅋㅋ 평생을 가난에 찌들어사는 사람답네요 맞는말을 해도 곧이곧대로 자기말이 옳은것마냥 행동하는 사람은,1
