replyID,relpy_text,hatespeech_or_not
UgwDvd3EHKsuxUYpc-d4AaABAg.9ZLb2YQ2ojJ9ZXRs7tsGlG,"Lol 7 people out of 370 million agree with you. Congrats 😂, you must be rich.",1
UgwDvd3EHKsuxUYpc-d4AaABAg.9ZLb2YQ2ojJ9ZYK65lEIen,As a Canadian with out a shallow gene pool like America&#39;s. With a semi better education system then yours lol with out the negatives of capitalism over shadowing education to gun control or rights. To reinforce jail and lawyers. Yall fucked In the head,1
UgwDvd3EHKsuxUYpc-d4AaABAg.9ZLb2YQ2ojJ9ZYKSaXYvBv,Boy he&#39;s Good at interchanging rate and rape. Old parlor trick,1
UgwvyoVAn3TLNhHRRpB4AaABAg.9Z6uHwbJvCX9ZKrXvFpWy-,Yet he&#39;s right,0
Ugw7tv631ax8mQHSjOd4AaABAg.9YvolXn-PWl9Yw9Ho9935q,"Aside from your deep TDS, please evaluate what he SAID.<br>Jealous heart.",1
UgwUtEkVk--fFreYECV4AaABAg.9YuplkvSFpp9YuqAYezCnV,See the Empire is the Type Organization That Would Say That 2 Offset Other News...,0
UgwUtEkVk--fFreYECV4AaABAg.9YuplkvSFpp9YuqJ45EegD,She&#39;s Type Who Would Put That Out 4 Sum Sympathy While She&#39;s Also a Leading Power in This Ukrainian Situation...,0
UgwUtEkVk--fFreYECV4AaABAg.9YuplkvSFpp9Yuqg7Kge7w,That Should Be 1 of the Least Likely People on the Planet 2 ACTUALLY Catch Covid... Who Has a More SHELTERED Lifestyle???,0
UgwUtEkVk--fFreYECV4AaABAg.9YuplkvSFpp9YurGxn_gen,And Just Leave Eric Be🙄He&#39;s the Absolute DUMBÉST Trump... Amnesty 4the Super Dummy...,1
UgwUtEkVk--fFreYECV4AaABAg.9YuplkvSFpp9YurTFvUnkP,Eric&#39;s Like His Grandma That Trumps Dad Pretty Much  Hid from People as Much as Possible🎯💯,1
UgwUtEkVk--fFreYECV4AaABAg.9YuplkvSFpp9YurqTt8a0V,Mesus Christ Has Heard Confession from Don Trump&#39;s Father&#39;s Spiritual Being💯 He Told Me a LOT About Their Family....,1
UgwJAmiDKuieypneNTJ4AaABAg.9Yto6KoL5AT9YwBC7xobti,You dont know anything bout him.<br>Except that he&#39;s a Trump and you have rabid TDS.<br>Please give me a link to legal filings or credible allegations of fraud.,1
UgzSvgxPMcchDvNfTIF4AaABAg.9YtXV_jcRU19YwBrJdnnJA,"I&#39;m not a huge fan of royalty but i know that&#39;s not true.<br>She has taken on the weight of leadership since she was a young girl.<br>She birthed 4 children who - i feel - she loved very much.<br>Yes, she was groomed to operate in a system we had long rejected<br>&#39;But i cant stand to see people just throw out lies.",0
